,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
677,0.07532175381978352,0.006024172839368332,0.0026859442392985025,0.000970108105070952,0.005000000000000002,84,171,"{'learning_rate': 0.005000000000000002, 'max_depth': 84, 'n_estimators': 171}",1.0,0.85,0.925,0.9250000000000002,0.061237243569579464,1,0.975,1.0,0.975,0.9833333333333334,0.011785113019775804
678,0.08483624458312988,0.0017994423409847834,0.0014709631601969402,0.0009214423406793599,0.005000000000000002,84,181,"{'learning_rate': 0.005000000000000002, 'max_depth': 84, 'n_estimators': 181}",1.0,0.85,0.925,0.9250000000000002,0.061237243569579464,1,0.975,1.0,0.975,0.9833333333333334,0.011785113019775804
679,0.08481844266255696,0.005694574124755737,0.001049359639485677,0.0008772598001775059,0.005000000000000002,84,191,"{'learning_rate': 0.005000000000000002, 'max_depth': 84, 'n_estimators': 191}",1.0,0.85,0.925,0.9250000000000002,0.061237243569579464,1,0.975,1.0,0.975,0.9833333333333334,0.011785113019775804
680,0.0030617713928222656,0.0007414243845583852,0.0021794637044270835,0.001042841980746793,0.005000000000000002,85,1,"{'learning_rate': 0.005000000000000002, 'max_depth': 85, 'n_estimators': 1}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
681,0.008346637090047201,0.0006881321473440192,0.0030624071756998696,0.0014964448978685714,0.005000000000000002,85,11,"{'learning_rate': 0.005000000000000002, 'max_depth': 85, 'n_estimators': 11}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
682,0.011839071909586588,0.0013672190189926738,0.004708051681518555,0.003910367462601456,0.005000000000000002,85,21,"{'learning_rate': 0.005000000000000002, 'max_depth': 85, 'n_estimators': 21}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.975,1.0,0.9625,0.9791666666666666,0.015590239111558084
683,0.014748811721801758,0.00037442664349643037,0.002027273178100586,0.0008296583795305484,0.005000000000000002,85,31,"{'learning_rate': 0.005000000000000002, 'max_depth': 85, 'n_estimators': 31}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.975,1.0,0.9625,0.9791666666666666,0.015590239111558084
684,0.029342492421468098,0.0019122617676800104,0.001000801722208659,0.0008160503027191527,0.005000000000000002,85,41,"{'learning_rate': 0.005000000000000002, 'max_depth': 85, 'n_estimators': 41}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
685,0.030653874079386394,0.005689436261331468,0.001333316167195638,0.0009427970288986978,0.005000000000000002,85,51,"{'learning_rate': 0.005000000000000002, 'max_depth': 85, 'n_estimators': 51}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
686,0.031243324279785156,0.0062077156956529,0.0020117759704589844,0.001431644269333018,0.005000000000000002,85,61,"{'learning_rate': 0.005000000000000002, 'max_depth': 85, 'n_estimators': 61}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
687,0.04517682393391927,0.007274828251560829,0.0015794436136881511,0.000486958584457684,0.005000000000000002,85,71,"{'learning_rate': 0.005000000000000002, 'max_depth': 85, 'n_estimators': 71}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
688,0.04292170206705729,0.005465084352162971,0.003231048583984375,0.002204550564401223,0.005000000000000002,85,81,"{'learning_rate': 0.005000000000000002, 'max_depth': 85, 'n_estimators': 81}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
689,0.04614130655924479,0.0077057942453934766,0.002344528834025065,0.003315664474453026,0.005000000000000002,85,91,"{'learning_rate': 0.005000000000000002, 'max_depth': 85, 'n_estimators': 91}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
690,0.04561599095662435,0.003346348065299359,0.0028618971506754556,0.001237202906279834,0.005000000000000002,85,101,"{'learning_rate': 0.005000000000000002, 'max_depth': 85, 'n_estimators': 101}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
691,0.05232961972554525,0.004490090794616174,0.0013339519500732422,0.0012471926473385895,0.005000000000000002,85,111,"{'learning_rate': 0.005000000000000002, 'max_depth': 85, 'n_estimators': 111}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
692,0.06460976600646973,0.008277112224754616,0.001681963602701823,0.0012583226114664147,0.005000000000000002,85,121,"{'learning_rate': 0.005000000000000002, 'max_depth': 85, 'n_estimators': 121}",0.95,0.85,0.925,0.9083333333333332,0.04249182927993988,3321,0.9625,1.0,0.9625,0.975,0.017677669529663678
